Which of the following people was not in the Manson Family?,Sharon Tate,Patricia Krenwinkel,Tex Watson,Squeakie Fromme
How many people total was the Manson Family guilty of murdering?,9,4,5,15
Aum's first victim was:,an investigative reporter and his family,a nosy neighbor,the conductor of a subway car,The Aum leader's ex-wife
Why did the police first raid the Mansons' at Spahn Ranch?,investigate them for car thefts,arrest them for murder,investigate drug trafficking,investigate them for kidnapping
Why did the Manson Family build dune buggies?,for use in the upcoming race war,to sell,to escape from the police,to enter into buggy races
What was the key to police breaking the Manson case?,Part of the 'family' bragged in jail,they found Manson's fingerprints at the scene,the caretaker at the mansion identified them,DNA evidence left on Sharon Tate
Why didn't the Manson Family get executed for their crimes?,California did away with the death penalty,They were found 'not guilty',they escaped from prison,victims' families asked for a lesser penalty
Aum tried to poison Tokyo by releasing __________ into the air from fans at their HQ,Anthrax,e Coli,Methane,Sarin
Aum members tried to kill judges who were scheduled to rule against them in court.,True,False
Which of the following WAS NOT found by police at Aum HQ?,several hundred assault rifles,A Russian military helicopter,enough Sarin gas to kill 4 million people,millions of US dollars
In 1995 Aum followers hid cyanide gas in ___________ in the Tokyo subway.,a toilet,a garbage can,a ticket machine,a subway car
How many Aum members were executed by Japan?,13,0,24,34
An offshoot of Aum lives on today but goes by the name of ________ .,Aleph,Neo-Aum,Hindubudd,Neo-Ashoka
How many people died in Heaven's Gate?,39,22,28,34
What was the goal of Heaven's Gate?,immortality,getting rich,world peace,freedom from pain
Heaven's Gate victims were found with all of the following except:,a letter to their families,Nike sneakers,$5.75 in their pockets,a blanket over them
What did they call the leaders of Heaven's Gate?,Ti and Do,Bonnie and Clyde,Him and Her,La and Do
The Heaven's Gate cult was based in the United States.,True,False
The Aum cult was located mostly in ,Japan,South Korea,the United States,Thailand
The Aum cult was founded by:,Shoko Asahara,Rika Matsumoto,Soko Gakkai,Masami Tshuchiya
What kind of gas did Aum use to attack the subway system?,Sarin,V1,Chlorine,Mustard
Where did the Aum subway attack happen?,Tokyo,Seoul,San Francisco,Singapore
What was the first name of the Aum movement?,Immortal Mountain Wizard Association,People of the Dragon,Followers of the North Star,Japan Rocks!
What country was Jonestown located in?,Guyana,United States,South America,Nigeria
Leo Ryan was a:,US Senator,aide to Jim Jones,Jim Jones' financial adviser,best friend of Jim Jones
How many people died at Jonestown?,about 900,about 500,about 1200,about 2000
What did the people at Jonestown use to commit suicide?,poisoned Flavor-aid,poisoned milk,they breathed in poison gas,poisoned rice and beans
What was the name of Jim Jones' church?,The People's Temple,The Church of Reformed Saints,Peaceful People of the World,Jim Jones' Wonderful World
Jim Jones didn't have any children of his own.,False,True
Jim Jones died from drinking poisoned Flavor-aid,False,True
The deceased people of Jonestown were buried in a mass grave in the jungle.,False,True
Nobody survived the massacre at Jonestown.,False,True
The goal of the Jones' church was:,equality for all people,salvation for all people,ending poverty worldwide,spreading the word of Jesus Christ
Charles Manson wanted to be bigger than:,The Beatles,The Doors,The Rolling Stones,The Beach Boys
Where did the Manson Family set up their home base?,an old movie set,the home of Dennis Wilson,San Francisco,behind the "Hollywood" sign
The Manson Family targeted Sharon Tate,False,True
The Manson Family's murder victims included all of the following EXCEPT:,a major Hollywood director,a movie star,entertainment industry's premier hairstylist,heiress to a fortune
